scenario,tid,price,outbound_departure,outbound_arrival,outbound_connections,outbound_duration,returning_departure,returning_arrival,returning_connections,returning_duration
1,1,999,466,760,2,354,540,968,1,368
1,2,999,466,760,2,354,540,968,1,368
1,3,865,1189,1385,1,256,400,769,1,309
1,4,797,645,1014,2,429,310,617,1,247
1,5,1080,720,1014,1,354,900,1316,1,356
1,6,776,1035,1267,1,292,540,968,1,368
1,7,1520,466,760,2,354,900,1432,2,472
1,8,1080,938,1117,1,239,670,968,1,238
1,9,1080,1189,1385,1,256,670,968,1,238
1,10,797,466,760,2,354,310,617,1,247
1,11,1080,410,639,1,289,670,968,1,238
1,12,1080,1035,1267,1,292,900,1316,1,356
1,13,865,562,760,1,258,400,769,1,309
1,14,797,636,1014,2,438,310,617,1,247
1,15,1080,720,1014,1,354,670,968,1,238
1,16,900,720,1014,1,354,1039,1316,1,217
1,17,797,466,760,2,354,310,617,1,247
1,18,1080,562,760,1,258,670,968,1,238
1,19,900,562,760,1,258,1039,1316,1,217
1,20,900,1189,1385,1,256,1039,1316,1,217
1,21,1080,562,760,1,258,900,1316,1,356
1,22,797,560,870,2,370,310,617,1,247
1,23,865,938,1117,1,239,400,769,1,309
1,24,865,1035,1267,1,292,400,769,1,309
1,25,1080,1035,1267,1,292,670,968,1,238
1,26,900,410,639,1,289,1039,1316,1,217
1,27,1328,636,1014,2,438,670,968,1,238
1,28,1520,466,760,2,354,900,1432,2,472
1,29,999,560,870,2,370,540,968,1,368
1,30,865,720,1014,1,354,400,769,1,309
1,31,865,410,639,1,289,400,769,1,309
1,32,574,720,1014,1,354,310,617,1,247
1,33,1328,636,1014,2,438,670,968,1,238
1,34,574,1189,1385,1,256,310,617,1,247
1,35,797,636,1014,2,438,310,617,1,247
1,36,900,938,1117,1,239,1039,1316,1,217
1,37,574,938,1117,1,239,310,617,1,247
1,38,1080,938,1117,1,239,900,1316,1,356
1,39,1080,1189,1385,1,256,900,1316,1,356
1,40,574,562,760,1,258,310,617,1,247
1,41,574,410,639,1,289,310,617,1,247
1,42,776,720,1014,1,354,540,968,1,368
1,43,776,938,1117,1,239,540,968,1,368
1,44,776,410,639,1,289,540,968,1,368
1,45,999,636,1014,2,438,540,968,1,368
1,46,776,562,760,1,258,540,968,1,368
1,47,999,645,1014,2,429,540,968,1,368
1,48,900,1035,1267,1,292,1039,1316,1,217
1,49,776,1189,1385,1,256,540,968,1,368
1,50,1328,645,1014,2,429,670,968,1,238
1,51,574,1035,1267,1,292,310,617,1,247
1,52,1088,466,760,2,354,400,769,1,309
1,53,999,636,1014,2,438,540,968,1,368
1,54,1080,410,639,1,289,900,1316,1,356
2,1,611,1040,1447,1,347,855,1447,2,652
2,2,611,415,948,1,473,705,1147,2,502
2,3,593,415,948,1,473,1074,1489,1,475
2,4,575,742,1447,2,645,650,945,1,355
2,5,812,450,730,1,220,805,1255,1,510
2,6,570,947,1447,2,440,1155,1593,2,498
2,7,873,650,931,1,221,1090,1519,2,489
2,8,616,1015,1360,1,285,775,1294,2,579
2,9,616,1060,1360,1,240,855,1447,2,652
2,10,923,730,1308,2,518,1090,1519,2,489
2,11,575,947,1447,2,440,650,945,1,355
2,12,642,765,1308,2,483,650,945,1,355
2,13,805,650,931,1,221,1079,1300,1,281
2,14,594,650,931,1,221,1155,1593,2,498
2,15,592,650,931,1,221,650,945,1,355
2,16,697,560,1057,2,437,650,945,1,355
2,17,611,785,1308,1,463,1155,1593,2,498
2,18,570,742,1447,2,645,1155,1593,2,498
2,19,641,947,1447,2,440,650,1037,2,447
2,20,611,1040,1447,1,347,705,1147,2,502
2,21,611,785,1181,1,336,1155,1593,2,498
2,22,729,650,931,1,221,822,1106,1,344
2,23,575,494,1181,2,627,650,945,1,355
2,24,593,1040,1447,1,347,1074,1489,1,475
2,25,609,785,1181,1,336,650,945,1,355
2,26,658,1040,1447,1,347,1380,1745,2,425
2,27,611,415,948,1,473,650,1037,2,447
2,28,863,450,730,1,220,822,1017,1,255
2,29,863,1060,1360,1,240,822,1017,1,255
2,30,611,415,948,1,473,775,1294,2,579
2,31,609,785,1308,1,463,650,945,1,355
2,32,594,375,704,1,269,1155,1593,2,498
2,33,540,1040,1447,1,347,1155,1593,2,498
2,34,857,650,931,1,221,822,1017,1,255
2,35,536,1060,1360,1,240,650,945,1,355
2,36,592,375,704,1,269,650,945,1,355
2,37,611,1040,1447,1,347,650,1037,2,447
2,38,536,450,730,1,220,650,945,1,355
2,39,699,560,1057,2,437,1155,1593,2,498
2,40,708,785,1181,1,336,1074,1489,1,475
2,41,536,1015,1360,1,285,650,945,1,355
2,42,538,1040,1447,1,347,650,945,1,355
2,43,570,494,1181,2,627,1155,1593,2,498
2,44,540,415,948,1,473,1155,1593,2,498
2,45,545,1015,1360,1,285,1155,1593,2,498
2,46,878,560,1057,2,437,650,1037,2,447
2,47,616,1060,1360,1,240,650,1037,2,447
2,48,923,730,1308,2,518,1090,1519,2,489
2,49,545,1060,1360,1,240,1155,1593,2,498
2,50,611,415,948,1,473,855,1447,2,652
2,51,611,1040,1447,1,347,775,1294,2,579
2,52,1075,740,1023,1,223,822,1017,1,255
2,53,545,450,730,1,220,1155,1593,2,498
2,54,848,730,1308,2,518,1090,1525,2,495
2,55,538,415,948,1,473,650,945,1,355
2,56,848,730,1308,2,518,1090,1525,2,495
2,57,616,450,730,1,220,775,1294,2,579
2,58,763,450,730,1,220,1079,1300,1,281
3,1,731,395,940,2,545,1204,1459,1,255
3,2,731,765,1130,2,365,1204,1459,1,255
3,3,699,839,1334,3,495,1204,1459,1,255
3,4,683,960,1334,1,374,774,1178,2,404
3,5,951,614,940,2,326,736,1190,2,454
3,6,667,960,1334,1,374,774,1096,1,322
3,7,1662,963,1278,1,315,1204,1459,1,255
3,8,777,361,780,2,419,1204,1459,1,255
3,9,791,933,1388,1,455,1204,1459,1,255
3,10,679,322,923,2,601,1204,1459,1,255
3,11,796,322,923,2,601,774,1248,2,474
3,12,913,933,1388,1,455,1155,1439,1,284
3,13,707,395,923,2,528,1204,1459,1,255
3,14,683,960,1334,1,374,1345,1888,2,543
3,15,801,322,923,2,601,1155,1439,1,284
3,16,731,1010,1323,2,313,1204,1459,1,255
3,17,667,960,1334,1,374,870,1293,1,423
3,18,792,465,702,1,237,1345,1727,2,382
3,19,729,652,1005,1,353,774,1096,1,322
3,20,729,765,1275,2,510,1204,1459,1,255
3,21,821,652,1005,1,353,774,1248,2,474
3,22,683,960,1334,1,374,1110,1483,2,373
3,23,699,465,702,1,237,774,1248,2,474
3,24,729,1010,1418,2,408,1204,1459,1,255
3,25,800,465,702,1,237,736,1190,2,454
3,26,729,652,1005,1,353,1110,1471,1,361
3,27,1365,765,1130,2,365,1110,1561,2,451
3,28,1613,963,1278,1,315,1055,1415,2,360
3,29,742,960,1388,2,428,774,1248,2,474
3,30,729,1010,1418,2,408,1204,1459,1,255
3,31,729,1010,1418,2,408,1204,1459,1,255
3,32,593,652,1005,1,353,1155,1439,1,284
3,33,1363,765,1275,2,510,1110,1561,2,451
3,34,422,960,1334,1,374,1204,1459,1,255
3,35,696,350,735,2,385,1204,1459,1,255
3,36,729,765,1275,2,510,1204,1459,1,255
3,37,349,465,702,1,237,1204,1459,1,255
3,38,812,465,702,1,237,1345,1888,2,543
3,39,818,350,735,2,385,1155,1439,1,284
3,40,471,465,702,1,237,1155,1439,1,284
3,41,471,652,1005,1,353,1204,1459,1,255
3,42,667,960,1334,1,374,1110,1471,1,361
3,43,607,465,702,1,237,774,1096,1,322
3,44,625,960,1388,2,428,1204,1459,1,255
3,45,756,960,1334,1,374,870,1180,2,310
3,46,607,465,702,1,237,870,1293,1,423
3,47,747,960,1388,2,428,1155,1439,1,284
3,48,729,652,1005,1,353,870,1293,1,423
3,49,607,465,702,1,237,1110,1471,1,361
3,50,1363,765,1275,2,510,1110,1561,2,451
3,51,544,960,1334,1,374,1155,1439,1,284
3,52,1276,675,1061,2,386,1110,1561,2,451
3,53,766,960,1334,1,374,774,1248,2,474
3,54,828,960,1275,2,315,774,1096,1,322
4,1,567,448,814,1,546,1070,1688,1,438
4,2,567,448,814,1,546,1070,1688,1,438
4,3,563,370,560,0,370,1070,1688,1,438
4,4,562,370,560,0,370,980,1610,1,450
4,5,644,370,560,0,370,1212,1888,2,496
4,6,551,370,560,0,370,1250,1895,1,465
4,7,815,1020,1385,1,545,1010,1610,1,420
4,8,579,1045,1383,1,518,1340,1952,1,432
4,9,604,1140,1470,1,510,910,1544,1,454
4,10,829,740,1178,1,618,1100,1690,1,410
4,11,562,370,560,0,370,1340,1952,1,432
4,12,622,370,560,0,370,965,1442,0,297
4,13,641,370,560,0,370,695,1450,2,575
4,14,563,370,560,0,370,1250,1895,1,465
4,15,563,370,560,0,370,975,1592,1,437
4,16,624,370,560,0,370,965,1442,0,297
4,17,567,448,814,1,546,975,1592,1,437
4,18,562,370,560,0,370,1340,1952,1,432
4,19,622,370,560,0,370,965,1442,0,297
4,20,565,448,814,1,546,980,1610,1,450
4,21,565,448,814,1,546,1340,1952,1,432
4,22,629,370,560,0,370,965,1442,0,297
4,23,562,370,560,0,370,980,1610,1,450
4,24,563,370,560,0,370,1070,1688,1,438
4,25,563,370,560,0,370,1135,1816,1,501
4,26,624,370,560,0,370,965,1442,0,297
4,27,565,448,814,1,546,980,1610,1,450
4,28,807,740,1178,1,618,950,1569,1,439
4,29,814,426,732,1,486,1135,1703,1,388
4,30,567,448,814,1,546,1250,1895,1,465
4,31,563,370,560,0,370,1135,1816,1,501
4,32,563,370,560,0,370,1250,1895,1,465
4,33,534,1140,1470,1,510,1135,1816,1,501
4,34,750,1020,1385,1,545,980,1610,1,450
4,35,532,1140,1470,1,510,980,1610,1,450
4,36,563,370,560,0,370,975,1592,1,437
4,37,565,448,814,1,546,1340,1952,1,432
4,38,532,1140,1470,1,510,1340,1952,1,432
4,39,626,448,814,1,546,965,1442,0,297
4,40,626,448,814,1,546,965,1442,0,297
4,41,534,1140,1470,1,510,975,1592,1,437
4,42,534,1140,1470,1,510,1070,1688,1,438
4,43,551,370,560,0,370,1135,1816,1,501
4,44,550,370,560,0,370,1340,1952,1,432
4,45,551,370,560,0,370,1070,1688,1,438
4,46,822,740,1178,1,618,1010,1610,1,420
4,47,567,448,814,1,546,1135,1816,1,501
4,48,829,740,1178,1,618,1100,1790,1,510
4,49,551,370,560,0,370,975,1592,1,437
4,50,567,448,814,1,546,1250,1895,1,465
4,51,567,448,814,1,546,975,1592,1,437
4,52,852,1020,1385,1,545,1070,1823,2,573
4,53,550,370,560,0,370,980,1610,1,450
4,54,750,1020,1385,1,545,1340,1952,1,432
4,55,534,1140,1470,1,510,1250,1895,1,465
4,56,646,370,560,0,370,975,1786,2,631
4,57,915,558,917,1,539,1212,1876,1,484
4,58,567,448,814,1,546,1135,1816,1,501
4,59,629,370,560,0,370,965,1442,0,297
5,1,655,920,1437,2,577,792,1368,2,516
5,2,655,920,1437,2,577,792,1368,2,516
5,3,626,594,1187,2,653,792,1368,2,516
5,4,613,594,1187,2,653,792,1368,2,516
5,5,748,709,947,1,298,1056,1396,1,280
5,6,588,594,1187,2,653,955,1598,3,583
5,7,1394,739,1187,2,508,1045,1414,1,309
5,8,656,739,1187,2,508,705,1176,1,411
5,9,657,739,1187,2,508,792,1368,2,516
5,10,1414,709,947,1,298,1045,1414,1,309
5,11,613,594,1187,2,653,792,1368,2,516
5,12,657,739,1187,2,508,792,1368,2,516
5,13,722,600,1187,2,647,792,1368,2,516
5,14,630,594,1187,2,653,990,1322,1,272
5,15,617,594,1187,2,653,955,1598,3,583
5,16,668,880,1167,1,347,705,1176,1,411
5,17,655,920,1437,2,577,792,1368,2,516
5,18,612,594,1187,2,653,705,1176,1,411
5,19,657,739,1187,2,508,792,1368,2,516
5,20,654,920,1437,2,577,705,1176,1,411
5,21,632,594,1187,2,653,599,917,1,258
5,22,718,709,947,1,298,599,917,1,258
5,23,613,594,1187,2,653,792,1368,2,516
5,24,626,594,1187,2,653,792,1368,2,516
5,25,630,594,1187,2,653,1340,1683,1,283
5,26,659,594,1187,2,653,1340,1683,1,283
5,27,654,920,1437,2,577,705,1176,1,411
5,28,960,890,1165,1,335,1045,1414,1,309
5,29,1327,709,947,1,298,1195,1535,1,280
5,30,655,920,1437,2,577,792,1368,2,516
5,31,630,594,1187,2,653,1340,1683,1,283
5,32,630,594,1187,2,653,990,1322,1,272
5,33,584,594,1187,2,653,792,1368,2,516
5,34,945,330,625,1,355,607,971,1,304
5,35,581,594,1187,2,653,955,1598,3,583
5,36,617,594,1187,2,653,955,1598,3,583
5,37,632,594,1187,2,653,599,917,1,258
5,38,577,594,1187,2,653,792,1368,2,516
5,39,716,709,947,1,298,990,1322,1,272
5,40,716,709,947,1,298,1340,1683,1,283
5,41,583,594,1187,2,653,705,1176,1,411
5,42,583,594,1187,2,653,705,1176,1,411
5,43,588,594,1187,2,653,955,1598,3,583
5,44,584,594,1187,2,653,792,1368,2,516
5,45,588,594,1187,2,653,955,1598,3,583
5,46,1394,739,1187,2,508,1045,1414,1,309
5,47,655,920,1437,2,577,792,1368,2,516
5,48,1725,600,849,1,309,599,917,1,258
5,49,584,594,1187,2,653,792,1368,2,516
5,50,655,920,1437,2,577,792,1368,2,516
5,51,655,594,1187,2,653,792,1368,2,516
5,52,1923,739,1295,2,616,1045,1414,1,309
5,53,584,594,1187,2,653,792,1368,2,516
5,54,844,880,1167,1,347,705,1176,1,411
5,55,584,594,1187,2,653,792,1368,2,516
5,56,764,739,1187,2,508,607,971,1,304
5,57,656,739,1187,2,508,705,1176,1,411
5,58,721,600,1187,2,647,705,1176,1,411
6,1,590,615,905,1,290,895,1289,2,394
6,2,590,410,691,1,281,895,1289,2,394
6,3,562,360,730,1,370,1280,1651,1,371
6,4,562,810,1100,1,290,650,1076,1,426
6,5,882,810,1100,1,290,1145,1530,2,385
6,6,559,530,954,1,424,650,1076,1,426
6,7,1111,714,1050,1,336,1070,1513,2,443
6,8,603,410,691,1,281,1280,1651,1,371
6,9,603,615,905,1,290,675,1130,1,455
6,10,1127,714,1050,1,336,855,1197,1,342
6,11,562,435,730,1,295,1280,1651,1,371
6,12,662,885,1018,0,133,750,882,0,132
6,13,814,410,691,1,281,990,1246,1,256
6,14,562,660,1033,1,373,1280,1651,1,371
6,15,562,435,730,1,295,650,1076,1,426
6,16,730,750,1050,1,300,895,1289,2,394
6,17,562,660,1033,1,373,675,1130,1,455
6,18,562,810,1100,1,290,1280,1651,1,371
6,19,644,860,1166,1,306,1280,1651,1,371
6,20,562,660,1033,1,373,650,1076,1,426
6,21,562,360,730,1,370,650,1076,1,426
6,22,786,430,954,1,524,570,997,1,427
6,23,562,735,1033,1,298,1280,1651,1,371
6,24,562,735,1100,1,365,1280,1651,1,371
6,25,562,435,730,1,295,675,1130,1,455
6,26,702,815,1059,1,244,895,1289,2,394
6,27,562,735,1100,1,365,675,1130,1,455
6,28,1088,815,1059,1,244,990,1246,1,256
6,29,1111,714,1050,1,336,1070,1513,2,443
6,30,595,525,911,1,386,895,1289,2,394
6,31,562,735,1033,1,298,675,1130,1,455
6,32,562,810,1100,1,290,675,1130,1,455
6,33,541,430,954,1,524,650,1076,1,426
6,34,981,490,810,1,320,1080,1345,1,265
6,35,528,430,954,1,524,895,1289,2,394
6,36,562,735,1033,1,298,650,1076,1,426
6,37,562,735,1100,1,365,650,1076,1,426
6,38,528,430,954,1,524,895,1289,2,394
6,39,1473,815,1059,1,244,505,742,1,237
6,40,730,490,810,1,320,895,1289,2,394
6,41,747,538,980,2,442,1280,1651,1,371
6,42,541,430,954,1,524,1280,1651,1,371
6,43,541,430,954,1,524,1280,1651,1,371
6,44,559,530,954,1,424,675,1130,1,455
6,45,541,430,954,1,524,675,1130,1,455
6,46,559,530,954,1,424,1280,1651,1,371
6,47,1127,714,1050,1,336,855,1197,1,342
6,48,601,525,911,1,386,650,1076,1,426
6,49,1153,810,1100,1,290,520,791,1,271
6,50,546,530,954,1,424,895,1289,2,394
6,51,601,525,911,1,386,1280,1651,1,371
6,52,562,360,730,1,370,675,1130,1,455
6,53,1318,815,1059,1,244,505,742,1,237
6,54,541,430,954,1,524,675,1130,1,455
6,55,956,510,980,2,470,786,1312,2,526
6,56,541,430,954,1,524,650,1076,1,426
6,57,926,815,1059,1,244,990,1246,1,256
6,58,1367,465,725,1,260,505,742,1,237
6,59,601,525,911,1,386,675,1130,1,455
6,60,790,430,954,1,524,607,1008,2,401
7,1,1074,360,1045,2,625,950,1403,2,513
7,2,1074,360,1045,2,625,950,1403,2,513
7,3,1046,360,1045,2,625,713,1169,2,516
7,4,1024,360,1045,2,625,950,1403,2,513
7,5,1169,303,820,2,457,1311,1681,2,430
7,6,1002,360,1045,2,625,950,1488,2,598
7,7,1623,735,1289,2,494,1192,1755,2,623
7,8,1096,360,1045,2,625,713,1169,2,516
7,9,1097,420,1045,2,565,875,1250,2,435
7,10,1896,735,1266,2,471,1192,1755,2,623
7,11,1002,360,1045,2,625,950,1488,2,598
7,12,1105,360,1021,2,601,713,1169,2,516
7,13,1149,660,1175,2,455,1311,1681,2,430
7,14,1046,360,1045,2,625,713,1169,2,516
7,15,1033,405,1150,2,685,1311,1681,2,430
7,16,1107,360,988,2,568,713,1169,2,516
7,17,1074,360,1045,2,625,950,1403,2,513
7,18,1002,360,1045,2,625,950,1488,2,598
7,19,1104,420,1045,2,565,1215,1725,2,570
7,20,1066,360,988,2,568,713,1169,2,516
7,21,1064,360,1021,2,601,713,1169,2,516
7,22,1120,660,1150,2,430,1311,1951,2,700
7,23,1012,735,1289,2,494,1215,1725,2,570
7,24,1045,405,1150,2,685,1311,1951,2,700
7,25,1059,360,1266,2,846,950,1488,2,598
7,26,1107,360,988,2,568,713,1169,2,516
7,27,1066,360,988,2,568,713,1169,2,516
7,28,1322,303,820,2,457,875,1250,2,435
7,29,1623,735,1289,2,494,1061,1480,2,479
7,30,1087,360,1045,2,625,713,1169,2,516
